country_code,country_name,year,value,indicator_code,indicator_name,dimension
OM,Oman,2021,5.06566666666667,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
OM,Oman,2020,3.77607666666667,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
PK,Pakistan,2023,7.7675005,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
PK,Pakistan,2021,9.2975,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
PK,Pakistan,2020,7.886005,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
PT,Portugal,2023,2.073889,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
PT,Portugal,2022,6.0183335,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
PT,Portugal,2021,5.521665,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
PT,Portugal,2020,5.791665,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
QA,Qatar,2023,4.30904771428571,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
QA,Qatar,2022,3.61880957142857,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
QA,Qatar,2021,2.6127075,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
QA,Qatar,2020,3.8635325,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
RU,Russian Federation,2021,1.73929615384615,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
RU,Russian Federation,2020,2.12673153846154,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
RW,Rwanda,2023,7.553333,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
RW,Rwanda,2022,7.643333,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
RW,Rwanda,2021,7.02667,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
RW,Rwanda,2020,8.6321,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
SA,Saudi Arabia,2023,4.52,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
SA,Saudi Arabia,2022,1.18839278571429,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
SA,Saudi Arabia,2021,4.26555583333333,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
SA,Saudi Arabia,2020,4.82366,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
SN,Senegal,2023,1.38,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
SN,Senegal,2022,3.545,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
SN,Senegal,2021,3.445,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
SN,Senegal,2020,3.42652,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
SG,Singapore,2023,1.96814811111111,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
SG,Singapore,2022,1.17999977777778,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
SG,Singapore,2021,1.37185333333333,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
SG,Singapore,2020,1.33178777777778,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
ZA,South Africa,2023,3.74942484615385,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
ZA,South Africa,2022,4.09602553846154,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
ZA,South Africa,2021,8.40858846153846,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
ZA,South Africa,2020,9.65584153846154,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
ES,Spain,2023,2.23513361538462,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
ES,Spain,2022,2.27794884615385,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
ES,Spain,2021,2.34955153846154,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
ES,Spain,2020,1.77504769230769,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
SE,Sweden,2023,4.86666675,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
SE,Sweden,2022,4.6958335,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
SE,Sweden,2021,3.708335,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
SE,Sweden,2020,4.5090275,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CH,Switzerland,2023,4.1125002,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CH,Switzerland,2022,4.3320002,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CH,Switzerland,2021,3.192666,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
CH,Switzerland,2020,4.326178,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
TZ,Tanzania,2023,12.8255556666667,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
TZ,Tanzania,2022,8.29888866666667,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
TZ,Tanzania,2021,11.18136,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
TZ,Tanzania,2020,7.71314666666667,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
TH,Thailand,2023,3.6125,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
TH,Thailand,2022,6.57214285714286,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
TH,Thailand,2021,4.75785857142857,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
TH,Thailand,2020,5.07171285714286,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
TR,Turkiye,2023,9.956667,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
TR,Turkiye,2022,14.713334,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
TR,Turkiye,2021,13.44,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
TR,Turkiye,2020,8.23776,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
AE,United Arab Emirates,2023,3.07768533333333,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
AE,United Arab Emirates,2022,2.35425922222222,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
AE,United Arab Emirates,2021,3.81666444444445,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
AE,United Arab Emirates,2020,3.39138,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
GB,United Kingdom,2023,3.60692703125,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
GB,United Kingdom,2022,2.6667708125,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
GB,United Kingdom,2021,2.92351625,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
GB,United Kingdom,2020,4.0422878125,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
US,United States,2023,3.50980769230769,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
US,United States,2022,2.72570515384615,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
US,United States,2021,3.32061394736842,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
US,United States,2020,3.40270026315789,SI.RMT.COST.OB.ZS,remittance_cost_outbound_pct,D4
