asset,AdrActCnt,date,post_nov_2022
dai,5521,2020-06-19,0
usdc_eth,8304,2020-06-20,0
usdt_eth,129529,2020-06-20,0
usdt_trx,17972,2020-06-20,0
dai,5170,2020-06-20,0
dai,3965,2020-06-21,0
usdc_eth,5768,2020-06-21,0
usdt_trx,18082,2020-06-21,0
usdt_eth,131027,2020-06-21,0
usdc_eth,8801,2020-06-22,0
usdt_trx,19343,2020-06-22,0
dai,6004,2020-06-22,0
usdt_eth,152092,2020-06-22,0
usdc_eth,9767,2020-06-23,0
usdt_trx,17140,2020-06-23,0
dai,5007,2020-06-23,0
usdt_eth,180183,2020-06-23,0
usdt_trx,18941,2020-06-24,0
usdt_eth,129810,2020-06-24,0
dai,5341,2020-06-24,0
usdc_eth,8275,2020-06-24,0
dai,5691,2020-06-25,0
usdt_trx,17053,2020-06-25,0
usdt_eth,130762,2020-06-25,0
usdc_eth,7651,2020-06-25,0
usdt_trx,16871,2020-06-26,0
usdt_eth,130810,2020-06-26,0
dai,5697,2020-06-26,0
usdc_eth,9159,2020-06-26,0
usdt_trx,17371,2020-06-27,0
dai,4464,2020-06-27,0
usdt_eth,125771,2020-06-27,0
usdc_eth,10565,2020-06-27,0
usdt_eth,111437,2020-06-28,0
dai,4007,2020-06-28,0
usdc_eth,6182,2020-06-28,0
usdt_trx,18602,2020-06-28,0
usdc_eth,7543,2020-06-29,0
usdt_trx,17890,2020-06-29,0
dai,5372,2020-06-29,0
usdt_eth,101529,2020-06-29,0
usdt_eth,139395,2020-06-30,0
dai,4813,2020-06-30,0
usdc_eth,8495,2020-06-30,0
usdt_trx,19846,2020-06-30,0
dai,6759,2020-07-01,0
usdt_trx,17508,2020-07-01,0
usdc_eth,8266,2020-07-01,0
usdt_eth,120608,2020-07-01,0
usdt_trx,21258,2020-07-02,0
usdt_eth,117125,2020-07-02,0
dai,7471,2020-07-02,0
usdc_eth,9537,2020-07-02,0
usdt_trx,20029,2020-07-03,0
dai,8200,2020-07-03,0
usdt_eth,113176,2020-07-03,0
usdc_eth,8489,2020-07-03,0
dai,5405,2020-07-04,0
usdt_eth,103090,2020-07-04,0
usdt_trx,17001,2020-07-04,0
usdc_eth,7417,2020-07-04,0
dai,4375,2020-07-05,0
usdt_eth,86898,2020-07-05,0
usdt_trx,17023,2020-07-05,0
usdc_eth,5587,2020-07-05,0
usdc_eth,7741,2020-07-06,0
dai,6725,2020-07-06,0
usdt_eth,108023,2020-07-06,0
usdt_trx,18631,2020-07-06,0
usdc_eth,8580,2020-07-07,0
usdt_eth,118023,2020-07-07,0
usdt_trx,18548,2020-07-07,0
dai,6839,2020-07-07,0
usdt_trx,18983,2020-07-08,0
dai,6987,2020-07-08,0
usdc_eth,11571,2020-07-08,0
usdt_eth,127354,2020-07-08,0
usdt_trx,18264,2020-07-09,0
dai,5446,2020-07-09,0
usdc_eth,12532,2020-07-09,0
usdt_eth,116719,2020-07-09,0
usdt_trx,17694,2020-07-10,0
dai,4851,2020-07-10,0
usdc_eth,9322,2020-07-10,0
usdt_eth,107806,2020-07-10,0
usdt_eth,100948,2020-07-11,0
usdt_trx,18449,2020-07-11,0
usdc_eth,6588,2020-07-11,0
dai,4012,2020-07-11,0
usdt_eth,108058,2020-07-12,0
dai,3997,2020-07-12,0
