volume_usd,symbol,date,post_nov_2022
2933405193,USDC,2022-10-02,0
4449830981,USDC,2022-10-03,0
3702781171,USDC,2022-10-04,0
3648372214,USDC,2022-10-05,0
4064924187,USDC,2022-10-06,0
3663387742,USDC,2022-10-07,0
2735745388,USDC,2022-10-08,0
2260430910,USDC,2022-10-09,0
3234465931,USDC,2022-10-10,0
3635935332,USDC,2022-10-11,0
2920458912,USDC,2022-10-12,0
4863475901,USDC,2022-10-13,0
4058420604,USDC,2022-10-14,0
2551998130,USDC,2022-10-15,0
2511992440,USDC,2022-10-16,0
2980936199,USDC,2022-10-17,0
2885568216,USDC,2022-10-18,0
2645576295,USDC,2022-10-19,0
2679829482,USDC,2022-10-20,0
3250082894,USDC,2022-10-21,0
1929650726,USDC,2022-10-22,0
2276952462,USDC,2022-10-23,0
3031244247,USDC,2022-10-24,0
4523233356,USDC,2022-10-25,0
4575654708,USDC,2022-10-26,0
4234666654,USDC,2022-10-27,0
4000469292,USDC,2022-10-28,0
4594883158,USDC,2022-10-29,0
3672657264,USDC,2022-10-30,0
5307443271,USDC,2022-10-31,0
3559235451,USDC,2022-11-01,0
6343248164,USDC,2022-11-02,0
3480226568,USDC,2022-11-03,0
4189794922,USDC,2022-11-04,0
2820629269,USDC,2022-11-05,0
2414704424,USDC,2022-11-06,0
3478168774,USDC,2022-11-07,0
9481272661,USDC,2022-11-08,0
10733960295,USDC,2022-11-09,0
9392844548,USDC,2022-11-10,0
4591678573,USDC,2022-11-11,0
2456430569,USDC,2022-11-12,0
2374782585,USDC,2022-11-13,0
4017714642,USDC,2022-11-14,0
3132740778,USDC,2022-11-15,0
3988959847,USDC,2022-11-16,0
2882973153,USDC,2022-11-17,0
2638924708,USDC,2022-11-18,0
2142545663,USDC,2022-11-19,0
2631891750,USDC,2022-11-20,0
6600804024,USDC,2022-11-21,0
4058680571,USDC,2022-11-22,0
4043753926,USDC,2022-11-23,0
3455771499,USDC,2022-11-24,0
2547890810,USDC,2022-11-25,0
2436483647,USDC,2022-11-26,0
2289589937,USDC,2022-11-27,0
2949046303,USDC,2022-11-28,0
2909572697,USDC,2022-11-29,0
3389698194,USDC,2022-11-30,0
2503961407,USDC,2022-12-01,1
2490597772,USDC,2022-12-02,1
1795238577,USDC,2022-12-03,1
1702758189,USDC,2022-12-04,1
2283841749,USDC,2022-12-05,1
2226009116,USDC,2022-12-06,1
2274813216,USDC,2022-12-07,1
2170271743,USDC,2022-12-08,1
2120225426,USDC,2022-12-09,1
1280687558,USDC,2022-12-10,1
1330942018,USDC,2022-12-11,1
2410188441,USDC,2022-12-12,1
3884992735,USDC,2022-12-13,1
3151848157,USDC,2022-12-14,1
2460794466,USDC,2022-12-15,1
3154403231,USDC,2022-12-16,1
2160638041,USDC,2022-12-17,1
1068964229,USDC,2022-12-18,1
2366552622,USDC,2022-12-19,1
2562520190,USDC,2022-12-20,1
1950566712,USDC,2022-12-21,1
1850998745,USDC,2022-12-22,1
1885345751,USDC,2022-12-23,1
915340746,USDC,2022-12-24,1
1380163674,USDC,2022-12-25,1
1442718612,USDC,2022-12-26,1
1696141537,USDC,2022-12-27,1
2210122747,USDC,2022-12-28,1
1972864413,USDC,2022-12-29,1
1879667314,USDC,2022-12-30,1
1329559200,USDC,2022-12-31,1
1197927576,USDC,2023-01-01,1
1562545140,USDC,2023-01-02,1
2006189065,USDC,2023-01-03,1
2402538600,USDC,2023-01-04,1
2080129330,USDC,2023-01-05,1
2361812755,USDC,2023-01-06,1
1570732742,USDC,2023-01-07,1
1788498969,USDC,2023-01-08,1
3646138496,USDC,2023-01-09,1
2630571530,USDC,2023-01-10,1
2801305360,USDC,2023-01-11,1
4571366092,USDC,2023-01-12,1
3509707746,USDC,2023-01-13,1
4297415658,USDC,2023-01-14,1
2635965361,USDC,2023-01-15,1
2899726940,USDC,2023-01-16,1
2965132328,USDC,2023-01-17,1
4209476194,USDC,2023-01-18,1
3098920631,USDC,2023-01-19,1
3444375885,USDC,2023-01-20,1
3742948234,USDC,2023-01-21,1
3227947507,USDC,2023-01-22,1
3419783936,USDC,2023-01-23,1
3576076257,USDC,2023-01-24,1
4154869647,USDC,2023-01-25,1
3258930502,USDC,2023-01-26,1
3615689955,USDC,2023-01-27,1
2554816547,USDC,2023-01-28,1
2963258500,USDC,2023-01-29,1
3562976035,USDC,2023-01-30,1
2960609713,USDC,2023-01-31,1
3454788463,USDC,2023-02-01,1
4233203635,USDC,2023-02-02,1
3432403396,USDC,2023-02-03,1
2476218901,USDC,2023-02-04,1
2929555475,USDC,2023-02-05,1
3098238993,USDC,2023-02-06,1
3694028407,USDC,2023-02-07,1
3602936283,USDC,2023-02-08,1
4476731490,USDC,2023-02-09,1
3672886124,USDC,2023-02-10,1
2420063116,USDC,2023-02-11,1
2523403098,USDC,2023-02-12,1
4929525447,USDC,2023-02-13,1
4219254344,USDC,2023-02-14,1
4265639806,USDC,2023-02-15,1
5620785014,USDC,2023-02-16,1
4696979332,USDC,2023-02-17,1
2724755647,USDC,2023-02-18,1
3217361040,USDC,2023-02-19,1
3456245956,USDC,2023-02-20,1
4145675499,USDC,2023-02-21,1
4388750217,USDC,2023-02-22,1
4056250193,USDC,2023-02-23,1
4261268706,USDC,2023-02-24,1
2686817523,USDC,2023-02-25,1
2507543870,USDC,2023-02-26,1
3267016287,USDC,2023-02-27,1
3109767982,USDC,2023-02-28,1
3676550737,USDC,2023-03-01,1
3569810686,USDC,2023-03-02,1
4111203947,USDC,2023-03-03,1
2215392974,USDC,2023-03-04,1
2396832193,USDC,2023-03-05,1
2954077279,USDC,2023-03-06,1
3567136291,USDC,2023-03-07,1
3259552390,USDC,2023-03-08,1
3762826045,USDC,2023-03-09,1
7610706906,USDC,2023-03-10,1
26682206827,USDC,2023-03-11,1
9955867537,USDC,2023-03-12,1
9184314805,USDC,2023-03-13,1
7814525316,USDC,2023-03-14,1
7297504595,USDC,2023-03-15,1
5813165153,USDC,2023-03-16,1
6804547128,USDC,2023-03-17,1
4862447405,USDC,2023-03-18,1
4030817576,USDC,2023-03-19,1
6812088662,USDC,2023-03-20,1
5061226074,USDC,2023-03-21,1
6207409133,USDC,2023-03-22,1
6139163965,USDC,2023-03-23,1
5536710750,USDC,2023-03-24,1
3630877871,USDC,2023-03-25,1
3302521189,USDC,2023-03-26,1
4510405294,USDC,2023-03-27,1
4167400927,USDC,2023-03-28,1
4219185140,USDC,2023-03-29,1
4893829473,USDC,2023-03-30,1
4103572101,USDC,2023-03-31,1
2593064644,USDC,2023-04-01,1
2930085933,USDC,2023-04-02,1
4466068651,USDC,2023-04-03,1
4031916462,USDC,2023-04-04,1
4169747376,USDC,2023-04-05,1
3814620125,USDC,2023-04-06,1
2903250734,USDC,2023-04-07,1
2282839968,USDC,2023-04-08,1
2572735226,USDC,2023-04-09,1
3782006070,USDC,2023-04-10,1
4226589595,USDC,2023-04-11,1
4455109085,USDC,2023-04-12,1
4497996156,USDC,2023-04-13,1
6483808260,USDC,2023-04-14,1
3570934315,USDC,2023-04-15,1
3945942527,USDC,2023-04-16,1
4388563239,USDC,2023-04-17,1
4416719010,USDC,2023-04-18,1
5954252197,USDC,2023-04-19,1
5370179003,USDC,2023-04-20,1
5485001575,USDC,2023-04-21,1
3371754245,USDC,2023-04-22,1
3475533157,USDC,2023-04-23,1
4393039848,USDC,2023-04-24,1
4849844618,USDC,2023-04-25,1
6469260029,USDC,2023-04-26,1
5592517130,USDC,2023-04-27,1
4103487467,USDC,2023-04-28,1
2544777872,USDC,2023-04-29,1
3328615964,USDC,2023-04-30,1
3639367736,USDC,2023-05-01,1
2902760212,USDC,2023-05-02,1
3636049113,USDC,2023-05-03,1
3016766782,USDC,2023-05-04,1
4114517917,USDC,2023-05-05,1
3737756631,USDC,2023-05-06,1
2509528527,USDC,2023-05-07,1
4488130638,USDC,2023-05-08,1
2959273885,USDC,2023-05-09,1
4343854748,USDC,2023-05-10,1
3909082089,USDC,2023-05-11,1
4185712320,USDC,2023-05-12,1
1974042367,USDC,2023-05-13,1
2047773213,USDC,2023-05-14,1
3148745500,USDC,2023-05-15,1
2722392153,USDC,2023-05-16,1
3131943202,USDC,2023-05-17,1
2968729105,USDC,2023-05-18,1
2439159656,USDC,2023-05-19,1
1435963394,USDC,2023-05-20,1
1777767516,USDC,2023-05-21,1
2589848746,USDC,2023-05-22,1
2924076287,USDC,2023-05-23,1
3291167507,USDC,2023-05-24,1
2770193924,USDC,2023-05-25,1
2485067667,USDC,2023-05-26,1
1450362893,USDC,2023-05-27,1
2614572603,USDC,2023-05-28,1
2719634408,USDC,2023-05-29,1
2801360301,USDC,2023-05-30,1
2753700484,USDC,2023-05-31,1
3010435468,USDC,2023-06-01,1
2963165478,USDC,2023-06-02,1
1761598228,USDC,2023-06-03,1
1912106592,USDC,2023-06-04,1
4613674985,USDC,2023-06-05,1
4430436583,USDC,2023-06-06,1
4279564855,USDC,2023-06-07,1
2722751251,USDC,2023-06-08,1
2665781846,USDC,2023-06-09,1
5562774660,USDC,2023-06-10,1
2395915206,USDC,2023-06-11,1
3482493796,USDC,2023-06-12,1
3455989217,USDC,2023-06-13,1
3368200180,USDC,2023-06-14,1
6040215579,USDC,2023-06-15,1
3727702817,USDC,2023-06-16,1
2353245046,USDC,2023-06-17,1
1927548864,USDC,2023-06-18,1
3052004763,USDC,2023-06-19,1
4705226783,USDC,2023-06-20,1
6494016298,USDC,2023-06-21,1
4887538535,USDC,2023-06-22,1
5087372638,USDC,2023-06-23,1
2382774730,USDC,2023-06-24,1
2847495718,USDC,2023-06-25,1
3856083147,USDC,2023-06-26,1
3824274035,USDC,2023-06-27,1
3482152553,USDC,2023-06-28,1
3165466479,USDC,2023-06-29,1
6373895760,USDC,2023-06-30,1
2631090680,USDC,2023-07-01,1
2553765961,USDC,2023-07-02,1
3591365139,USDC,2023-07-03,1
2950403752,USDC,2023-07-04,1
3099466412,USDC,2023-07-05,1
4263171820,USDC,2023-07-06,1
3149204362,USDC,2023-07-07,1
1870945839,USDC,2023-07-08,1
1767586724,USDC,2023-07-09,1
3359012284,USDC,2023-07-10,1
2747012361,USDC,2023-07-11,1
3099598321,USDC,2023-07-12,1
5528502864,USDC,2023-07-13,1
4852861593,USDC,2023-07-14,1
2140381966,USDC,2023-07-15,1
2080513172,USDC,2023-07-16,1
3208017139,USDC,2023-07-17,1
2974234953,USDC,2023-07-18,1
2779406654,USDC,2023-07-19,1
3200825513,USDC,2023-07-20,1
6052246403,USDC,2023-07-21,1
2059171696,USDC,2023-07-22,1
1923166146,USDC,2023-07-23,1
2972535139,USDC,2023-07-24,1
2242969853,USDC,2023-07-25,1
2959690717,USDC,2023-07-26,1
2447050412,USDC,2023-07-27,1
2576906993,USDC,2023-07-28,1
1552851362,USDC,2023-07-29,1
2064962482,USDC,2023-07-30,1
2797739009,USDC,2023-07-31,1
4107231674,USDC,2023-08-01,1
3899981415,USDC,2023-08-02,1
2992754699,USDC,2023-08-03,1
3102941071,USDC,2023-08-04,1
1690306453,USDC,2023-08-05,1
1962209985,USDC,2023-08-06,1
