country_iso3,country_name,year,gdp_per_capita_usd,inflation_cpi_annual_pct,financial_account_baseline,remittances_received_pct_gdp,baseline_year,is_forward_filled
BRA,Brazil,2022,9281.33282136864,9.28010608956873,86.3811782311541,0.254813156784915,2024,False
BRA,Brazil,2023,10377.5897719195,4.59356282283204,86.3811782311541,0.202347517951754,2024,False
BRA,Brazil,2024,10310.5488778166,4.36746407652337,86.3811782311541,0.224281814146123,2024,False
BRA,Brazil,2025,10310.5488778166,4.36746407652337,86.3811782311541,0.224281814146123,2024,True
BRB,Barbados,2020,19194.4919736739,,,1.57527473391221,,False
BRB,Barbados,2021,21079.6145271791,,,1.43211730040101,,False
BRB,Barbados,2022,24387.0387293761,,,1.23714059027727,,False
BRB,Barbados,2023,25583.878782727,9.79207077126447,,1.17919070363064,,False
BRB,Barbados,2024,26544.8707282621,-0.440112940205204,,1.13597391988584,,False
BRB,Barbados,2025,26544.8707282621,-0.440112940205204,,1.13597391988584,,True
BRN,Brunei Darussalam,2020,26834.3592233943,1.94031996607184,,,,False
BRN,Brunei Darussalam,2021,31006.9636289785,1.73341388450593,,,,False
BRN,Brunei Darussalam,2022,36632.9280952155,3.68225030604216,,,,False
BRN,Brunei Darussalam,2023,32890.5491812019,0.35706431153689,,,,False
BRN,Brunei Darussalam,2024,33153.4738913513,-0.388674165036461,,,,False
BRN,Brunei Darussalam,2025,33153.4738913513,-0.388674165036461,,,,True
BTN,Bhutan,2020,3191.66906999331,5.62936522632508,,3.39498028366294,,False
BTN,Bhutan,2021,3570.61257980872,7.3468144053353,,2.64978293694613,,False
BTN,Bhutan,2022,3711.32767981591,5.6391667139637,,3.31086657464961,,False
BTN,Bhutan,2023,3831.32535494609,4.22934419929251,,3.58251575182779,,False
BTN,Bhutan,2024,,2.76131569624098,,,,False
BTN,Bhutan,2025,,2.76131569624098,,,,True
BWA,Botswana,2020,6323.2974967659,1.8903591682421,61.4384690565565,0.295602661286554,2024,False
BWA,Botswana,2021,7807.88794570471,7.24097765588442,61.4384690565565,0.323109444541782,2024,False
BWA,Botswana,2022,8328.7090572666,11.665567478802,61.4384690565565,0.306272176448881,2024,False
BWA,Botswana,2023,7826.35376483298,5.0676154934383,61.4384690565565,0.360745147280346,2024,False
BWA,Botswana,2024,7695.75319445165,2.81835131676251,61.4384690565565,0.661264409337821,2024,False
BWA,Botswana,2025,7695.75319445165,2.81835131676251,61.4384690565565,0.661264409337821,2024,True
CAF,Central African Republic,2020,462.879071294011,1.71015659523153,,,,False
CAF,Central African Republic,2021,492.263142830507,4.25936417542868,,,,False
CAF,Central African Republic,2022,467.359825026238,5.58316735183247,,,,False
CAF,Central African Republic,2023,495.978897288721,2.97913852618937,,,,False
CAF,Central African Republic,2024,516.160999996036,1.47733600718744,,,,False
CAF,Central African Republic,2025,516.160999996036,1.47733600718744,,,,True
CAN,Canada,2020,43537.839298904,0.716999632307827,98.4047126063262,0.049637012939377,2024,False
CAN,Canada,2021,52886.6616372703,3.39519318527528,98.4047126063262,0.0411150827860872,2024,False
CAN,Canada,2022,56256.8007264015,6.80280115341613,98.4047126063262,0.039437208123801,2024,False
CAN,Canada,2023,54220.3285039875,3.87900159788426,98.4047126063262,0.0389811694078447,2024,False
CAN,Canada,2024,54340.3477224733,2.38158383281173,98.4047126063262,0.0379490070926434,2024,False
CAN,Canada,2025,54340.3477224733,2.38158383281173,98.4047126063262,0.0379490070926434,2024,True
CHE,Switzerland,2020,85897.7843338323,-0.725874933313384,98.412309687795,0.418815724820597,2024,False
CHE,Switzerland,2021,93664.7736696111,0.581814168489856,98.412309687795,0.394169722896814,2024,False
CHE,Switzerland,2022,94394.5106803525,2.83502798644463,98.412309687795,0.400685830735044,2024,False
CHE,Switzerland,2023,100623.549627296,2.13540088016377,98.412309687795,0.390234902671994,2024,False
