month,eth_mean_fee_usd,eth_median_fee_usd,eth_p95_fee_usd,eth_tx_count,tron_mean_fee_usd,tron_median_fee_usd,tron_p95_fee_usd,tron_tx_count,post_nov_2022,legacy_pct_fee,legacy_flat_fee
2021-10,59.81287041187387,44.41057356360204,156.99712461271096,950,0.2811821210907833,0.2281751155434563,0.47598987834680145,20,0,0.04599759129379887,0.0
2021-11,79.8057933481244,51.33401734389852,199.29097534461016,950,0.5962050299577049,0.4634349635498239,0.9212673760866893,20,0,0.04599759129379887,0.0
2021-12,89.6552018725578,60.50841831865233,221.04565503713627,951,0.5977606180610889,0.7083116143381649,0.7801162642899939,20,0,0.04599759129379887,0.0
2022-01,30.55570354566731,16.845464380301415,77.41095457763203,951,0.40817210673082416,0.30230134596158753,0.5876908236267894,20,0,0.03954333749271911,0.0
2022-02,62.636933646471356,33.7978790908509,208.37159636450997,954,0.2979389457858551,0.3027796732692281,0.5892856035145962,20,0,0.03954333749271911,0.0
2022-03,55.4932778940243,39.679335948986875,157.030503511125,950,0.3738279666897562,0.3080378824112043,0.5786843443415437,20,0,0.03954333749271911,0.0
2022-04,20.583955792264103,13.740826145130391,51.7411046914805,951,0.33469073851415476,0.277154323794673,0.5570152346588091,20,0,0.03954333749271911,0.0
2022-05,36.09156802212767,32.70408482901375,102.3327661803102,952,0.3712987961152324,0.3575558277523844,0.720179374310334,20,0,0.03954333749271911,0.0
2022-06,13.1126225577449,8.350449541443004,31.538809049755805,951,0.37273252658870054,0.36511102421498864,0.7103780751131777,20,0,0.03954333749271911,0.0
2022-07,9.660896934337059,7.751069082855094,28.856060053553644,950,0.383306530679811,0.2809912469875598,0.654619450795992,20,0,0.03954333749271911,0.0
2022-08,3.294495189024826,2.7633875131252053,8.730468931967847,953,0.3645677704454199,0.31073968965448423,0.6019179326147106,20,0,0.03954333749271911,0.0
2022-09,6.5665091253007075,4.574121890473156,17.230308251731014,951,0.26082158552396095,0.2537248489542382,0.5348509919325447,20,0,0.03954333749271911,0.0
2022-10,3.832202608697306,3.2933032289019986,8.708812572668284,952,1.5300427063090332,0.2779742191844724,5.323960772045466,20,0,0.03954333749271911,0.0
2022-11,5.3432038808381686,4.840649471972528,13.403538077095662,956,0.9982708787977426,0.2767362939064692,5.079780620969972,20,0,0.03954333749271911,0.0
2022-12,3.1078732307407275,2.3017859591808185,9.499686684220956,953,0.5264445623729588,0.14845353006093015,3.263266017438879,20,1,0.03954333749271911,0.0
2023-01,6.349103154986309,4.47121852257885,19.711173859433895,992,0.22109890949341277,0.1443282593647426,0.7065867033299273,20,1,0.038480262293667786,0.0
2023-02,8.857293082896181,7.812545099177973,20.008564856175983,950,0.591757408854399,0.42127237130002004,1.7955915523608663,20,1,0.038480262293667786,0.0
2023-03,6.357020033936932,4.952025764897257,17.095036092478775,956,0.6574029119291452,0.8733946408126129,0.8733946408126129,20,1,0.038480262293667786,0.0
2023-04,8.780517931620164,7.564338849205818,23.07941284474946,951,0.409662138874536,0.01249534439557645,0.9555542774224868,20,1,0.038480262293667786,0.0
2023-05,27.165659404603254,15.19687948272406,134.9643267060828,984,0.3295723801109644,0.0,0.9883178503347146,20,1,0.038480262293667786,0.0
2023-06,10.78396897506536,8.906617335175785,30.7295217633196,964,0.33390562360808007,0.026597713186560748,2.113535217951391,20,1,0.038480262293667786,0.0
2023-07,4.904874321184948,2.471456569152113,13.774706909063536,956,0.7108409275011697,0.0297801084279669,2.174783620661367,20,1,0.038480262293667786,0.0
2023-08,9.322612950757337,7.629761896882838,24.13586111424222,956,0.7368772268294167,1.0280291600249698,2.118290673910855,20,1,0.038480262293667786,0.0
2023-09,4.989939299726131,3.63955002866398,14.24502707414742,956,0.7350595842893883,0.013634841717343,2.3724511274590894,20,1,0.038480262293667786,0.0
2023-10,2.6708791520445954,2.1618668303708866,7.308524093843979,950,0.4781110964783547,0.0,2.4001638596714976,20,1,0.038480262293667786,0.0
2023-11,7.794605448049599,5.94083072468351,21.17727833365501,957,0.9300887849200329,0.0349318252899294,2.6851289346655283,20,1,0.038480262293667786,0.0
2023-12,20.314877594171428,15.41761580872176,59.84690182559286,955,0.5177310254016722,0.0360371068823446,1.5370808216616227,20,1,0.038480262293667786,0.0
2024-01,27.261375064138022,8.453578228253882,103.979008194899,1000,0.6363238973052001,0.0354722070908754,1.501590262227405,20,1,0.038480262293667786,0.0
2024-02,11.369675361381265,9.392159007371168,30.71292343131613,953,0.2545686675872526,0.0,1.6566443845977856,20,1,0.038480262293667786,0.0
2024-03,40.81047088153201,32.2639385263554,114.43114496866654,961,0.6727897858469182,0.0472528914982706,3.735464341350896,20,1,0.038480262293667786,0.0
2024-04,12.282457392909711,10.278154714629125,32.938784217185265,950,0.6666367788357512,0.04200000533189675,1.77201028827218,20,1,0.038480262293667786,0.0
2024-05,4.387276020146589,2.9928083510322603,14.642261281655504,953,0.33536790262020777,0.0,1.647371351536275,20,1,0.038480262293667786,0.0
2024-06,20.038886436107124,6.177260886560451,119.72557577620113,952,0.47056441223808115,0.0194394796071515,1.6246502821938626,20,1,0.038480262293667786,0.0
2024-07,10.637038842976095,2.244058949496884,59.6504631019219,989,0.4315273424984003,0.0430279628733952,1.7980263216195185,20,1,0.038480262293667786,0.0
2024-08,3.3498726861767962,2.960414970152394,8.358412980019686,953,0.5221920414156771,0.0215279106838306,3.284714759396348,20,1,0.038480262293667786,0.0
2024-09,0.7247509276421934,0.4397784992815776,2.4610746893051934,954,0.4170043458051099,0.0,2.0529598888296956,20,1,0.038480262293667786,0.0
2024-10,12.333978637604696,4.607421907898637,70.56644135214138,956,0.7609046816555861,0.026898288767207,2.2694526258089947,20,1,0.038480262293667786,0.0
2024-11,9.596516753204053,3.235612477904708,67.95862297416943,965,0.569293050060397,0.02764960781300985,2.3401022460547063,20,1,0.038480262293667786,0.0
2024-12,46.96506737816047,12.923334049574269,228.86974286310695,953,0.47075943143038873,0.0,0.5433654119529133,20,1,0.038480262293667786,0.0
2025-01,12.01399550841648,4.246258866748738,81.13468882396988,960,1.0762244859938552,0.0872573948470803,3.672549935120335,20,1,0.038480262293667786,0.0
2025-02,2.8531848420928827,1.347598684630136,12.284075524677387,953,1.2188317851916506,0.0792651716100228,5.3652420061108055,20,1,0.038480262293667786,0.0
2025-03,0.975082257792047,0.535923538042431,3.2725918060756887,955,1.0215399733152486,0.0,6.679334027196441,20,1,0.038480262293667786,0.0
2025-04,0.6691144997921059,0.2862487644013426,2.243163086204456,950,0.4956863264023033,0.0,3.145467229193445,20,1,0.038480262293667786,0.0
2025-05,0.34151322792487704,0.2288933966011573,1.159660957350357,950,0.7321291641581783,0.0,3.734322409479807,20,1,0.038480262293667786,0.0
2025-06,0.9170690599198466,0.6651523723166278,2.9123972038261967,951,2.9694070992968182,0.0989508539636123,7.946140772271844,20,1,0.038480262293667786,0.0
2025-07,1.7718312359671045,0.3834373975471689,13.258591831313852,994,0.05038575692543673,0.04944511654724495,0.10003935230716911,20,1,0.038480262293667786,0.0
2025-08,0.6798466692688756,0.382215037244964,2.6408904302593266,950,1.417021833252199,0.0,4.9195053177080625,20,1,0.038480262293667786,0.0
2025-09,1.489313082725165,0.22787974356430418,6.659933179115803,998,0.01142134596370069,0.0,0.1142134596370069,20,1,0.038480262293667786,0.0
2025-10,0.909003687071647,0.3472107538757539,3.389699232122189,957,0.2350559128388175,0.0,2.1748142764504217,20,1,0.038480262293667786,0.0
2025-11,0.3287508923112226,0.1201852966377795,2.0108746930525805,956,0.42155911554706904,0.0,3.8135950196731683,20,1,0.038480262293667786,0.0
2025-12,0.2742878789923318,0.0603221497519891,1.607199976748287,952,0.37681404698889553,0.0,3.668795601980112,20,1,0.038480262293667786,0.0
