country_iso3,country_name,year,adoption_percentile,rank,rank_note,overall_score,centralized_service_value_received_rank,defi_value_received_rank,institutional_centralized_service_value_received_rank,number_of_onchain_deposits_rank,onchain_retail_value_received_rank,onchain_value_received_rank,p2p_exchange_trade_volume_rank,retail_centralized_service_value_received_rank,retail_defi_value_received_rank,gdp_per_capita_usd,inflation_cpi_annual_pct,financial_account_baseline,baseline_year,remittances_received_pct_gdp,post_2022,is_forward_filled
BLZ,Belize,2022,0.5241379310344827,70.0,,,106.0,109.0,,,,,8.0,106.0,71.0,7068.21728043145,6.27689319447544,67.9682001512007,2024.0,5.00304345845639,0,False
BLZ,Belize,2024,0.02,148.0,,,152.0,123.0,,,,,,158.0,149.0,7681.24400583113,3.28955985952768,67.9682001512007,2024.0,4.81171408822687,1,False
BOL,Bolivia,2020,0.5857142857142856,59.0,,0.082,,,,89.0,65.0,69.0,38.0,,,3580.96761778303,0.940742153381849,56.849052664469,2024.0,2.66229538411819,0,False
BOL,Bolivia,2021,0.6688311688311688,52.0,,0.05,,,,,83.0,63.0,27.0,,,4010.76053686204,0.737383721452275,56.849052664469,2024.0,2.96057833302062,0,False
BOL,Bolivia,2022,0.7172413793103448,42.0,,,54.0,93.0,,,,,20.0,54.0,91.0,4219.46113742445,1.74632872945969,56.849052664469,2024.0,2.86351523412907,0,False
BOL,Bolivia,2023,0.4935064935064935,79.0,,,62.0,111.0,,,,,64.0,55.0,111.0,4274.70820547613,2.57688800489192,56.849052664469,2024.0,2.76917067099173,1,False
BOL,Bolivia,2024,0.3333333333333333,101.0,,,48.0,124.0,,,,,,52.0,115.0,4421.16609889999,5.09976568317427,56.849052664469,2024.0,2.34124280496525,1,False
BOL,Bolivia,2025,0.6511627906976745,46.0,,,32.0,89.0,34.0,,,,,32.0,,4421.16609889999,5.09976568317427,56.849052664469,2024.0,2.34124280496525,1,True
BRA,Brazil,2020,0.9142857142857144,13.0,,0.338,,,,66.0,5.0,6.0,68.0,,,7074.19407495707,3.21176803803376,86.3811782311541,2024.0,0.241596221185315,0,False
BRA,Brazil,2021,0.9155844155844156,14.0,,0.16,,,,,7.0,5.0,113.0,,,7972.53696080695,8.30165975585673,86.3811782311541,2024.0,0.245534634681336,0,False
BRA,Brazil,2022,0.9586206896551724,7.0,,,7.0,8.0,,,,,113.0,7.0,7.0,9281.33282136864,9.28010608956873,86.3811782311541,2024.0,0.254813156784915,0,False
BRA,Brazil,2023,0.948051948051948,9.0,,,9.0,11.0,,,,,15.0,11.0,11.0,10377.5897719195,4.59356282283204,86.3811782311541,2024.0,0.202347517951754,1,False
BRA,Brazil,2024,0.94,10.0,,,8.0,10.0,,,,,,10.0,14.0,10310.5488778166,4.36746407652337,86.3811782311541,2024.0,0.224281814146123,1,False
BRA,Brazil,2025,0.9689922480620154,5.0,,,5.0,5.0,5.0,,,,,5.0,,10310.5488778166,4.36746407652337,86.3811782311541,2024.0,0.224281814146123,1,True
BRB,Barbados,2020,0.2142857142857143,111.0,,0.015,,,,33.0,136.0,133.0,102.0,,,19194.4919736739,,,,1.57527473391221,0,False
BRB,Barbados,2021,0.2012987012987013,124.0,,0.01,,,,,134.0,135.0,24.0,,,21079.6145271791,,,,1.43211730040101,0,False
BRB,Barbados,2022,0.3103448275862068,101.0,,,121.0,136.0,,,,,11.0,121.0,137.0,24387.0387293761,,,,1.23714059027727,0,False
BRB,Barbados,2023,0.0454545454545454,148.0,,,89.0,151.0,,,,,119.0,61.0,151.0,25583.878782727,9.79207077126447,,,1.17919070363064,1,False
BRN,Brunei Darussalam,2020,0.0428571428571428,135.0,,0.003,,,,81.0,146.0,146.0,126.0,,,26834.3592233943,1.94031996607184,,,,0,False
BRN,Brunei Darussalam,2021,0.0,155.0,,0.0,,,,,154.0,157.0,137.0,,,31006.9636289785,1.73341388450593,,,,0,False
