date,asset,transfer_volume_usd,post_nov_2022,active_addresses,active_addresses_squared
2020-10-07,USDC,374254318,0,11934,142420356
2020-10-08,USDC,299815037,0,11581,134119561
2020-10-09,USDC,327727313,0,12489,155975121
2020-10-10,USDC,427180195,0,9678,93663684
2020-10-11,USDC,403861256,0,8798,77404804
2020-10-12,USDC,416476986,0,10518,110628324
2020-10-13,USDC,387594913,0,14821,219662041
2020-10-14,USDC,409435371,0,11842,140232964
2020-10-15,USDC,391984913,0,40112,1608972544
2020-10-16,USDC,395543365,0,31208,973939264
2020-10-17,USDC,333120960,0,23587,556346569
2020-10-18,USDC,307862058,0,10839,117483921
2020-10-19,USDC,413360977,0,13728,188457984
2020-10-20,USDC,465386778,0,19935,397404225
2020-10-21,USDC,604292164,0,30218,913127524
2020-10-22,USDC,576937506,0,29933,895984489
2020-10-23,USDC,437724211,0,25148,632421904
2020-10-24,USDC,398566286,0,21506,462508036
2020-10-25,USDC,402083347,0,19409,376709281
2020-10-26,USDC,3320438919,0,23945,573363025
2020-10-27,USDC,458104673,0,23449,549855601
2020-10-28,USDC,528512165,0,24174,584382276
2020-10-29,USDC,470459196,0,27487,755535169
2020-10-30,USDC,431217496,0,26510,702780100
2020-10-31,USDC,373758762,0,29232,854509824
2020-11-01,USDC,351799541,0,26831,719902561
2020-11-02,USDC,441571379,0,29401,864418801
2020-11-03,USDC,442283090,0,33311,1109622721
2020-11-04,USDC,472844826,0,29939,896343721
2020-11-05,USDC,539340014,0,28681,822599761
2020-11-06,USDC,591081548,0,30096,905769216
2020-11-07,USDC,557991189,0,28469,810483961
2020-11-08,USDC,476614619,0,30854,951969316
2020-11-09,USDC,622091070,0,37208,1384435264
2020-11-10,USDC,343661075,0,26680,711822400
2020-11-11,USDC,485540181,0,26538,704265444
2020-11-12,USDC,537060492,0,28404,806787216
2020-11-13,USDC,540727846,0,26863,721620769
2020-11-14,USDC,449535541,0,26901,723663801
2020-11-15,USDC,283637646,0,22794,519566436
2020-11-16,USDC,512767433,0,26462,700237444
2020-11-17,USDC,580963624,0,32584,1061717056
2020-11-18,USDC,656269397,0,31338,982070244
2020-11-19,USDC,494516423,0,29659,879656281
2020-11-20,USDC,566516098,0,35899,1288738201
2020-11-21,USDC,617179131,0,38818,1506837124
2020-11-22,USDC,612750450,0,35395,1252806025
2020-11-23,USDC,684467515,0,38426,1476557476
2020-11-24,USDC,767726663,0,43212,1867276944
2020-11-25,USDC,684764089,0,38425,1476480625
2020-11-26,USDC,1029792049,0,33700,1135690000
2020-11-27,USDC,579819717,0,25064,628204096
2020-11-28,USDC,505337859,0,35276,1244396176
2020-11-29,USDC,469745856,0,27743,769674049
2020-11-30,USDC,707506103,0,36088,1302343744
2020-12-01,USDC,791656264,0,34008,1156544064
2020-12-02,USDC,659579565,0,16448,270536704
2020-12-03,USDC,613512931,0,16274,264843076
2020-12-04,USDC,616718869,0,16963,287743369
2020-12-05,USDC,528929182,0,14924,222725776
2020-12-06,USDC,500125499,0,13755,189200025
2020-12-07,USDC,503390382,0,14090,198528100
2020-12-08,USDC,624652067,0,16629,276523641
2020-12-09,USDC,661526815,0,16408,269222464
2020-12-10,USDC,386067664,0,16730,279892900
2020-12-11,USDC,575419053,0,25487,649587169
2020-12-12,USDC,372750751,0,45965,2112781225
2020-12-13,USDC,544392773,0,46946,2203926916
2020-12-14,USDC,511228529,0,39301,1544568601
2020-12-15,USDC,558700049,0,41734,1741726756
2020-12-16,USDC,777969586,0,34055,1159743025
2020-12-17,USDC,1292144145,0,37704,1421591616
2020-12-18,USDC,794460442,0,19322,373339684
2020-12-19,USDC,749344674,0,19052,362978704
2020-12-20,USDC,730501642,0,18149,329386201
2020-12-21,USDC,835998783,0,17494,306040036
2020-12-22,USDC,1004407433,0,17741,314743081
2020-12-23,USDC,994946010,0,19431,377563761
2020-12-24,USDC,822668329,0,18733,350925289
2020-12-25,USDC,768443745,0,17396,302620816
2020-12-26,USDC,837782777,0,19079,364008241
2020-12-27,USDC,1168083151,0,19372,375274384
2020-12-28,USDC,1037472251,0,19812,392515344
2020-12-29,USDC,1102774805,0,21136,446730496
2020-12-30,USDC,1158073232,0,21400,457960000
2020-12-31,USDC,1099562416,0,22432,503194624
2021-01-01,USDC,944050095,0,22634,512297956
2021-01-02,USDC,1679209330,0,23527,553519729
2021-01-03,USDC,1828596899,0,23570,555544900
