asset,time,TxTfrCnt
usdc,2020-06-10T00:00:00.000000000Z,10239
usdc,2020-06-11T00:00:00.000000000Z,15836
usdc,2020-06-12T00:00:00.000000000Z,11457
usdc,2020-06-13T00:00:00.000000000Z,7543
usdc,2020-06-14T00:00:00.000000000Z,10960
usdc,2020-06-15T00:00:00.000000000Z,12754
usdc,2020-06-16T00:00:00.000000000Z,13433
usdc,2020-06-17T00:00:00.000000000Z,15928
usdc,2020-06-18T00:00:00.000000000Z,13865
usdc,2020-06-19T00:00:00.000000000Z,18469
usdc,2020-06-20T00:00:00.000000000Z,20222
usdc,2020-06-21T00:00:00.000000000Z,15034
usdc,2020-06-22T00:00:00.000000000Z,18464
usdc,2020-06-23T00:00:00.000000000Z,19404
usdc,2020-06-24T00:00:00.000000000Z,17243
usdc,2020-06-25T00:00:00.000000000Z,15169
usdc,2020-06-26T00:00:00.000000000Z,20255
usdc,2020-06-27T00:00:00.000000000Z,19084
usdc,2020-06-28T00:00:00.000000000Z,12941
usdc,2020-06-29T00:00:00.000000000Z,15412
usdc,2020-06-30T00:00:00.000000000Z,14143
usdc,2020-07-01T00:00:00.000000000Z,15694
usdc,2020-07-02T00:00:00.000000000Z,21339
usdc,2020-07-03T00:00:00.000000000Z,18371
usdc,2020-07-04T00:00:00.000000000Z,16496
usdc,2020-07-05T00:00:00.000000000Z,11983
usdc,2020-07-06T00:00:00.000000000Z,15486
usdc,2020-07-07T00:00:00.000000000Z,16538
usdc,2020-07-08T00:00:00.000000000Z,22350
usdc,2020-07-09T00:00:00.000000000Z,20538
usdc,2020-07-10T00:00:00.000000000Z,18958
usdc,2020-07-11T00:00:00.000000000Z,12520
usdc,2020-07-12T00:00:00.000000000Z,12692
usdc,2020-07-13T00:00:00.000000000Z,16440
usdc,2020-07-14T00:00:00.000000000Z,18044
usdc,2020-07-15T00:00:00.000000000Z,16597
usdc,2020-07-16T00:00:00.000000000Z,16509
usdc,2020-07-17T00:00:00.000000000Z,19426
usdc,2020-07-18T00:00:00.000000000Z,20078
usdc,2020-07-19T00:00:00.000000000Z,22404
usdc,2020-07-20T00:00:00.000000000Z,24036
usdc,2020-07-21T00:00:00.000000000Z,19536
usdc,2020-07-22T00:00:00.000000000Z,18767
usdc,2020-07-23T00:00:00.000000000Z,24669
usdc,2020-07-24T00:00:00.000000000Z,22646
usdc,2020-07-25T00:00:00.000000000Z,21933
usdc,2020-07-26T00:00:00.000000000Z,23268
usdc,2020-07-27T00:00:00.000000000Z,28200
usdc,2020-07-28T00:00:00.000000000Z,22513
usdc,2020-07-29T00:00:00.000000000Z,23632
usdc,2020-07-30T00:00:00.000000000Z,21833
usdc,2020-07-31T00:00:00.000000000Z,21088
usdc,2020-08-01T00:00:00.000000000Z,22343
usdc,2020-08-02T00:00:00.000000000Z,21829
usdc,2020-08-03T00:00:00.000000000Z,27313
usdc,2020-08-04T00:00:00.000000000Z,21753
usdc,2020-08-05T00:00:00.000000000Z,23331
usdc,2020-08-06T00:00:00.000000000Z,19313
usdc,2020-08-07T00:00:00.000000000Z,23026
usdc,2020-08-08T00:00:00.000000000Z,20341
usdc,2020-08-09T00:00:00.000000000Z,18072
usdc,2020-08-10T00:00:00.000000000Z,24412
usdc,2020-08-11T00:00:00.000000000Z,26624
usdc,2020-08-12T00:00:00.000000000Z,27879
usdc,2020-08-13T00:00:00.000000000Z,25977
usdc,2020-08-14T00:00:00.000000000Z,29260
usdc,2020-08-15T00:00:00.000000000Z,21451
usdc,2020-08-16T00:00:00.000000000Z,20031
usdc,2020-08-17T00:00:00.000000000Z,24568
usdc,2020-08-18T00:00:00.000000000Z,26900
usdc,2020-08-19T00:00:00.000000000Z,27899
usdc,2020-08-20T00:00:00.000000000Z,23270
usdc,2020-08-21T00:00:00.000000000Z,51950
usdc,2020-08-22T00:00:00.000000000Z,20558
