id,name,symbol,peg_type,peg_mechanism
323,KEI Stablecoin,KEI,peggedUSD,crypto-backed
90,Redeemable USD,RUSD,peggedUSD,fiat-backed
212,Move Dollar,MOD,peggedUSD,crypto-backed
57,Hedge USD,USH,peggedUSD,crypto-backed
276,Hyperstable USD,USH,peggedUSD,crypto-backed
74,Moremoney USD,MONEY,peggedUSD,crypto-backed
94,BaoUSD,BAOUSD,peggedUSD,crypto-backed
222,Parallel USD,PAUSD,peggedUSD,crypto-backed
114,CLever USD,clevUSD,peggedUSD,crypto-backed
189,btcUSD,btcUSD,peggedUSD,crypto-backed
84,BOB,BOB,peggedUSD,crypto-backed
96,Coin98 Dollar,CUSD,peggedUSD,crypto-backed
193,Chi USC,USC,peggedUSD,crypto-backed
76,Interest Protocol,USDI,peggedUSD,crypto-backed
196,Classic USD,USC,peggedUSD,fiat-backed
138,ARYZE eUSD,eUSD,peggedUSD,fiat-backed
190,Revenue Generating USD,rgUSD,peggedUSD,crypto-backed
111,DAI+,DAI+,peggedUSD,crypto-backed
177,UNO,UNO,peggedUSD,fiat-backed
207,Dyad,DYAD,peggedUSD,crypto-backed
267,Mead,MEAD,peggedUSD,crypto-backed
169,GAI Stablecoin,GAI,peggedUSD,crypto-backed
338,Fuse Dollar V3,FUSD,peggedUSD,crypto-backed
163,PrismaLRT Ultra,ULTRA,peggedUSD,crypto-backed
208,Dackie USD,DCKUSD,peggedUSD,algorithmic
259,Arche Protocol MSD,MSD,peggedUSD,crypto-backed
102,Offshift anonUSD,ANONUSD,peggedUSD,algorithmic
108,Deuterium,d2O,peggedUSD,crypto-backed
265,Orki USD,USDK,peggedUSD,crypto-backed
61,Fixed Income Asset Token,FIAT,peggedUSD,crypto-backed
62,PUSd,PUSD,peggedUSD,crypto-backed
301,Jigsaw USD,JUSD,peggedUSD,crypto-backed
187,KNOX Dollar,KNOX,peggedUSD,crypto-backed
128,Nexus,NEX,peggedUSD,algorithmic
223,TREN Debt Token,XY,peggedUSD,crypto-backed
87,USDi,USDI,peggedUSD,crypto-backed
273,Asymmetry USDaf,USDaf,peggedUSD,crypto-backed
279,Parabol USD,paraUSD,peggedUSD,fiat-backed
150,USD Stable Colb,SCB,peggedUSD,fiat-backed
121,PSY,sLSD,peggedUSD,crypto-backed
134,Phase Dollar,CASH,peggedUSD,fiat-backed
203,Chad USD,cUSD,peggedUSD,crypto-backed
320,Rocky USDr,USDR,peggedUSD,crypto-backed
3,TerraClassicUSD,USTC,peggedUSD,algorithmic
39,VOLT Protocol,VOLT,peggedVAR,algorithmic
40,Rai Reflex Index,RAI,peggedVAR,crypto-backed
41,Float Protocol Float,FLOAT,peggedVAR,algorithmic
49,Euro Tether,EURT,peggedEUR,fiat-backed
50,EURC,EURC,peggedEUR,fiat-backed
51,Stasis Euro,EURS,peggedEUR,fiat-backed
52,Celo Euro,CEUR,peggedEUR,algorithmic
53,sEUR,SEUR,peggedEUR,crypto-backed
55,EURA,EURA,peggedEUR,crypto-backed
56,Parallel,PAR,peggedEUR,crypto-backed
66,Frax Price Index,FPI,peggedVAR,algorithmic
91,Iron Bank EURO,IBEUR,peggedEUR,crypto-backed
98,EUROe Stablecoin,EUROe,peggedEUR,fiat-backed
101,Monerium EUR emoney,EURE,peggedEUR,fiat-backed
105,DeFi Franc,DCHF,peggedVAR,crypto-backed
113,SILK,SILK,peggedVAR,crypto-backed
122,GYEN,GYEN,peggedJPY,fiat-backed
127,Alternity CNY,LCNY,peggedCNY,crypto-backed
131,UAHT,UAHT,peggedUAH,fiat-backed
133,NARS,NARS,peggedARS,fiat-backed
137,Collateralized Debt Token,CDT,peggedVAR,crypto-backed
139,ARYZE eEUR,eEUR,peggedEUR,fiat-backed
140,ARYZE eGBP,eGBP,peggedGBP,fiat-backed
145,CAD Coin,CADC,peggedCAD,fiat-backed
147,Anchored Coins AEUR,AEUR,peggedEUR,fiat-backed
157,VNX Swiss Franc,VCHF,peggedCHF,fiat-backed
158,VNX EURO,VEUR,peggedEUR,fiat-backed
